Id,thetao,chl,Lat,Lon
96871,26.2977,0.441007,-8.074914679,107.270748
96872,26.4594,0.68123,-8.074914679,109.1040814
96881,26.1866,0.3936,-8.079081346,106.7249147
96883,26.2551,0.420385,-8.079081346,107.1165813
96884,26.2804,0.441007,-8.079081346,107.1749147
96890,26.1418,0.367024,-8.083248013,104.5249147
96891,26.1733,0.3936,-8.083248013,106.695748
96892,26.2551,0.420385,-8.083248013,107.0624147
96896,26.1162,0.352215,-8.087414679,106.3249147
96897,26.2551,0.420385,-8.087585578,107.0667522
96898,26.2551,0.420385,-8.087414679,107.0790813
96899,26.2804,0.441007,-8.087414679,107.1790813
96900,28.2452,0.530765,-8.085654832,114.4205555
96907,26.1733,0.3936,-8.091581346,106.6540813
96908,26.1964,0.3936,-8.091581346,106.8749147
96909,26.225,0.420385,-8.089821499,106.9830551
96910,26.225,0.420385,-8.091581346,107.0084189
96911,26.2977,0.441007,-8.091581346,107.2165813
96916,26.1733,0.3936,-8.095748013,106.670748
96917,26.1866,0.3936,-8.095748013,106.7665813
96918,26.1964,0.3936,-8.095748013,106.8374147
96919,26.206,0.420385,-8.095748013,106.895748
96920,26.225,0.420385,-8.095918911,107.0040813
96921,26.225,0.420385,-8.095748013,107.0209189
96922,26.2551,0.420385,-8.095748013,107.045748
96923,26.2977,0.441007,-8.095918911,107.2209189
96930,26.2125,0.346254,-8.09991468,105.5040813
96932,26.1964,0.3936,-8.09991468,106.8540813
96933,26.225,0.420385,-8.100085578,107.0165813
96934,26.2977,0.441007,-8.09991468,107.2124147
96935,28.2452,0.530765,-8.10048508,114.4125584
96940,26.1703,0.343897,-8.104081346,106.0040813
96941,26.1964,0.3936,-8.104081346,106.8415813
96942,26.225,0.420385,-8.104081346,106.970748
96943,26.2551,0.420385,-8.104081346,107.0874147
96944,26.2804,0.441007,-8.104081346,107.1499147
96945,26.2977,0.441007,-8.104252245,107.2167522
96946,26.2977,0.441007,-8.104081346,107.2749147
96947,26.3017,0.441007,-8.104081346,107.2917522
96958,26.1737,0.366455,-8.108248013,104.6415813
96959,26.1964,0.3936,-8.108418911,106.8459189
96960,26.206,0.420385,-8.108248013,106.920748
96961,26.2804,0.441007,-8.108248013,107.133248
96962,26.2977,0.441007,-8.108418911,107.2874147
96969,26.1964,0.3936,-8.11241468,106.8624147
96970,26.2551,0.420385,-8.11241468,107.1165813
96971,26.2804,0.441007,-8.11241468,107.1540813
96972,26.3017,0.441007,-8.11241468,107.2999147
96979,26.225,0.420385,-8.116581346,107.0249147
96980,26.2804,0.441007,-8.116581346,107.145748
96981,26.2804,0.441007,-8.116581346,107.1999147
96982,26.2911,0.458033,-8.116581346,107.4290813
96990,26.0327,0.335749,-8.120748013,103.5915813
96991,26.1964,0.3936,-8.120748013,106.8374147
96992,26.206,0.420385,-8.120748013,106.9040813
96993,26.2551,0.420385,-8.120748013,107.0499147
96994,26.2804,0.441007,-8.120748013,107.158248
96995,26.2977,0.441007,-8.118988166,107.2622217
96996,26.3017,0.441007,-8.120748013,107.308248
96998,26.1981,0.366455,-8.12491468,104.8499147
96999,26.152,0.369061,-8.12491468,106.5749147
97000,26.1866,0.3936,-8.12491468,106.720748
97001,26.1866,0.3936,-8.12491468,106.7624147
97002,26.206,0.420385,-8.12491468,106.9499147
97003,26.2551,0.420385,-8.12491468,107.095748
97004,26.2977,0.441007,-8.12491468,107.2749147
97005,28.2452,0.530765,-8.124874138,114.4000848
97010,26.218,0.256388,-8.129081346,107.020748
97011,26.2851,0.272374,-8.129081346,107.2540813
97012,26.318,0.272374,-8.129081346,107.2999147
97020,26.1888,0.23817,-8.133248013,104.345748
97021,26.1759,0.241874,-8.133248013,106.6874147
97023,26.254,0.272374,-8.133248013,107.158248
97024,26.254,0.272374,-8.133248013,107.170748
